143,3,160,3,90,9,2347142,28506,23192,17591,24410
143,3,160,1,90,9,2347142,28506,23315,17638,24410
142,9,160,0,90,8,2347142,28506,23377,17638,24410
142,8,160,0,90,7,2347142,28506,23377,17615,24375
142,9,160,2,90,6,2347142,28506,23377,17591,24375
143,6,160,2,90,8,2347142,28461,23223,23468,24736
147,3,158,7,91,4,2347142,30000,24125,32525,29192
146,0,157,0,92,6,2347142,32038,24666,38245,34776
144,4,150,2,91,4,27585,34000,24506,41162,34654
143,1,146,6,87,2,23400,33193,24189,41162,33708
140,5,148,9,82,8,21884,32307,24125,40151,32801
141,6,155,7,78,1,21578,32038,24031,39401,32525
144,6,163,2,75,1,21044,32307,23905,39180,32038
143,7,172,2,74,0,21428,32635,24125,39107,32038
143,0,181,8,73,9,21548,32416,23905,38888,31931
143,4,190,8,73,7,21548,32038,23937,38888,32038
143,4,199,3,73,7,21488,31984,24000,38816,32199
143,0,206,7,73,8,22289,31825,23874,38529,32091
142,7,213,2,73,8,21609,31878,24157,38672,32253
142,4,219,0,73,8,21639,31509,23843,38387,32038
142,0,224,0,73,8,21279,31561,24031,38529,32038
141,6,228,3,73,7,21279,31457,23968,38387,31931
141,3,232,1,73,7,21102,31301,23843,38175,31878
140,8,235,5,73,7,21279,31301,23968,38175,31931
140,5,238,4,73,7,21102,31250,23843,37826,31878
140,2,240,9,73,8,20985,31301,23874,38034,31931
139,9,243,1,74,1,20927,31250,23937,37895,31878
139,6,244,6,74,5,20612,31147,23843,37687,31825
139,1,246,1,74,8,20669,31198,23905,37687,31878
138,8,246,9,75,1,20358,30892,23780,37550,31614
