95,268,185,118404,54585,17385,29568
95,268,185,116923,53061,16982,29053
95,268,185,115954,53126,16982,28961
95,268,185,115954,53061,16916,29007
95,268,185,116923,53126,16960,28961
95,268,185,119411,54585,17385,29568
95,268,185,115954,53126,16916,29007
96,268,185,115954,53061,16982,29053
96,268,185,116923,53061,16960,28961
96,268,185,116436,53061,16916,29053
96,268,185,119411,54585,17385,29568
96,268,185,115954,53061,16916,29053
96,268,185,116923,53061,16916,28961
96,268,185,115954,53061,16916,29053
97,268,185,116923,53061,16916,29053
97,268,185,118906,54585,17385,29568
96,268,185,115954,53126,16916,29053
97,268,185,116436,53061,16960,29007
97,268,185,116436,53126,16916,28961
97,268,185,115954,53061,16960,28961
96,268,185,119411,54585,17385,29568
96,268,185,115954,53061,16916,28961
96,268,185,115475,53061,16916,29053
96,268,185,115954,53061,16916,29007
96,268,185,116923,53061,16916,28961
96,268,185,118404,54585,17340,29568
97,268,185,116436,53061,16916,28961
97,268,185,116436,53126,16916,28961
97,268,185,115954,53126,16916,29007
97,268,185,115954,53061,16960,28961
