163,7,158,0,321,7,2052499,38458,28070,18571,27078
163,4,160,5,321,6,2528461,38175,28177,18596,27120
163,1,162,6,321,5,2347142,37687,28177,18546,27120
162,7,164,5,321,4,2190000,37687,28070,18546,27120
162,3,166,1,321,3,2190000,37619,28212,18596,27162
161,9,167,6,321,3,2052499,37550,28035,18546,27120
161,4,168,7,321,3,2347142,37482,28070,18546,27120
161,0,169,8,321,4,2190000,37345,28035,18546,27120
160,8,170,6,321,4,2052499,36941,28035,18546,27204
160,8,171,4,321,5,1931176,36941,28070,18546,27246
160,7,172,0,321,5,2190000,36875,28035,18546,27246
160,7,172,6,321,6,1931176,36742,28070,18571,27330
160,7,174,2,321,8,2190000,36348,28248,18596,28106
160,9,176,4,323,3,2190000,39698,28283,19049,31457
161,6,178,5,325,6,2347142,41083,30000,21102,36742
161,8,179,2,328,4,2190000,35643,32117,24446,40535
161,5,178,9,331,3,2190000,34000,33490,29192,46122
162,0,176,2,334,7,2190000,35020,34112,33137,56132
163,3,172,2,337,6,2190000,34594,34447,36025,60212
165,9,167,5,339,4,2190000,30993,34532,36742,62527
167,5,162,4,341,0,2347142,24591,34447,36742,63496
169,5,157,9,341,9,2190000,22007,34363,36478,62847
163,4,160,5,321,6,2528461,38175,28177,18596,27120
176,8,135,4,343,5,2347142,18374,33779,35897,60362
177,1,134,1,343,5,2347142,18720,33779,35897,60967
177,6,133,3,343,5,2347142,18770,33572,35580,60663
177,5,132,8,343,3,2740000,19074,34028,35833,61739
178,3,132,3,342,8,2347142,18998,33945,35580,61274
179,1,131,5,341,0,2347142,19281,33945,34836,60362
179,5,131,3,338,5,2347142,19411,33945,33766,59182
180,0,129,7,335,8,2347142,22480,33162,30791,56801
