156,0,175,6,335,3,2190000,25294,24891,16591,21368
156,0,175,1,335,5,2190000,25294,24891,16591,21339
158,2,175,8,335,0,2347142,25522,24956,16527,21339
161,8,179,8,334,1,2347142,25256,25183,16548,20697
163,6,183,5,334,6,2347142,25331,25974,16720,20358
163,9,185,4,335,3,2190000,28062,27543,17408,21428
164,6,184,2,336,3,2347142,34594,29553,19438,26105
165,5,180,0,338,2,2347142,35961,30375,20583,26383
166,7,175,1,339,1,2190000,35897,30641,21700,25675
167,0,170,4,339,3,2190000,35897,30794,22226,25369
167,1,166,0,338,9,2190000,35392,30755,22352,25218
167,7,161,9,338,7,2528461,35329,30755,22384,25031
167,8,158,7,338,8,2347142,35205,30755,22258,24773
167,8,155,8,338,7,2347142,34897,30755,22101,24736
167,8,153,2,338,5,2347142,34715,30451,22038,24410
167,7,150,1,338,4,2190000,33193,29702,21279,23673
167,4,147,6,338,5,2347142,32145,28714,19100,22803
167,3,144,8,338,5,2347142,29615,27127,17801,21609
166,4,142,5,338,5,2190000,27457,25808,17205,21015
166,0,141,2,338,3,2347142,26544,25248,16894,20956
166,1,140,5,337,7,2190000,26065,24763,16634,20726
165,0,140,8,337,1,2190000,25522,24474,16506,20583
163,7,141,6,337,2,2190000,25218,24506,16442,20499
162,6,142,9,337,1,2190000,24810,24157,16357,20358
161,6,144,3,337,1,2347142,24773,24125,16190,20330
161,5,146,0,336,8,2190000,24410,23937,16128,20192
160,7,148,2,336,6,2347142,24267,23843,16004,20054
160,5,150,2,336,4,2528461,24055,23874,15984,20054
160,2,152,5,336,2,2052499,23950,23780,15923,20027
160,0,154,9,336,1,2347142,23915,23780,15943,20027
