104,325,302,116923,56228,22770,36875
101,326,302,117413,56228,22352,36941
97,325,302,117906,56228,22195,36875
107,323,304,116923,56297,22038,36742
100,268,306,119921,56089,20985,37482
102,268,306,115954,54652,20499,36544
118,268,306,115954,54652,20470,36610
104,333,321,111323,56577,21700,36941
111,347,342,111323,56717,19359,36283
125,357,2,104583,55331,18301,33882
139,51,15,109133,56929,20000,31250
157,84,15,109133,56929,21428,29192
135,93,15,114528,56367,21518,35392
136,90,32,110000,54855,21669,35961
164,101,30,102244,55536,19702,31825
147,111,13,110437,56788,19945,34534
137,108,17,112222,54720,20640,39327
147,103,36,114060,56367,20726,38175
165,111,32,107857,56929,19596,36941
185,122,13,111771,56507,19702,37619
177,115,14,118404,56089,20082,41162
175,104,34,109565,55058,18253,38816
188,114,29,105789,57070,18277,35454
165,125,14,113134,56367,20442,37345
146,61,14,109133,56929,21761,38175
135,58,19,112222,56577,22226,40381
144,58,36,107437,55331,19702,37687
159,75,28,101864,55812,18571,35205
134,83,11,112676,56507,23639,39401
147,77,21,112222,54652,20527,40381
