98,267,254,117413,54652,21073,37008
98,267,254,118404,54652,21044,37142
99,268,254,121474,56089,21639,37756
98,268,254,121474,56089,21609,37756
98,268,254,117413,54652,21161,36941
98,268,254,117413,54652,21073,36941
98,268,254,121474,56089,21548,37687
99,268,254,120434,56089,21548,37687
100,268,254,117906,54652,21015,36941
101,268,254,117906,54652,20985,36941
102,268,255,121474,56019,21428,37687
103,270,265,117413,54652,20985,36941
109,282,287,115954,56367,20754,37687
121,296,312,107437,55263,21073,36089
138,307,332,110000,56788,20303,34715
164,355,338,106197,55331,21976,32912
147,22,333,112222,56437,23099,37687
98,268,254,117413,54652,21073,36941
135,21,344,112222,54720,22038,38961
160,31,356,110879,56929,21700,36413
166,50,340,107857,55950,19945,34715
143,53,332,126929,56929,21428,42969
130,49,349,115954,54652,19837,39107
158,61,351,109565,56788,21190,39401
164,76,333,112222,56647,20783,38744
158,77,334,117413,54585,21914,42215
160,70,353,116436,56367,21044,40075
186,83,343,107437,56929,23400,37619
155,91,327,117906,56228,20470,41083
144,84,337,118404,56089,20754,41805
