110,276,13,114060,56228,21428,37895
110,275,13,110879,54652,20985,37142
109,274,13,114060,56367,21428,37965
109,272,13,114060,56367,21428,37895
110,271,13,112676,56367,21368,37826
110,270,13,114528,56367,21428,37687
109,270,13,113134,56367,21368,37687
109,269,13,114528,56437,21578,38034
109,268,13,113134,56297,21279,37756
109,268,13,111323,54652,20726,36941
110,267,13,114528,56089,21279,37756
116,268,18,111771,54652,20697,37345
121,286,41,108279,56717,20192,37482
128,301,64,104583,55194,19151,34654
143,311,82,105789,55331,19622,33593
174,349,86,111323,56367,23333,35769
157,8,77,111771,54652,21914,37210
144,13,85,111323,54652,20054,39401
164,24,103,109133,54720,20669,38387
177,40,97,106607,55126,20000,35267
198,49,81,110000,54720,26912,35897
188,51,86,112222,56228,20303,39180
194,56,102,111771,56437,19810,38245
208,68,99,107437,56929,20247,35205
221,74,81,111771,56647,20583,35580
208,72,83,112222,56367,20527,39401
210,74,102,113134,56507,19464,37413
222,84,97,107021,57000,20054,34715
236,88,81,112222,56367,20414,36348
219,85,82,115475,56297,20985,39549
